,credit_to_gdp,term_spread_pch,M1_growth,M2_growth,nasdaq_growth,debt_to_gdp_growth,cpi,employ_rate,crisis
1976-10-01,0.1,33.43582,1.78611297164545,3.62279,0.0422,0.42861,1.45433,0.0,0
1977-01-01,0.3,-9.21064,2.40184250932222,3.39951,5.41592,-0.40302,1.83486,0.4096,0
1977-04-01,0.4,-6.30287,1.95994430759345,2.69306,0.44987,-2.5174,1.7455,0.99068,0
1977-07-01,-0.3,-34.72787,1.57563025210084,2.30256,4.24817,0.55996,1.38351,0.34622,0
1977-10-01,0.3,-44.17592,1.95449844881076,2.07014,0.45686,0.69971,1.4738,0.92007,0
1978-01-01,0.2,2.54161,2.10974743888834,1.86706,1.20528,0.85033,1.72136,0.51282,0
1978-04-01,0.2,-31.11613,2.48336147809675,1.86654,14.69504,-4.10958,2.27393,0.90703,0
1978-07-01,-0.3,-94.81225,1.71561500436173,1.86288,10.72233,0.27901,2.32678,0.11236,0
1978-10-01,-0.1,-3150.16393,1.58185629883743,1.86879,-7.87067,-1.09272,2.32441,0.61728,0
1979-01-01,-0.2,35.31795,1.40712945590994,1.46662,4.70899,-1.02332,2.51852,0.39041,0
1979-04-01,0.7,-30.76202,2.77520814061055,2.37117,6.33709,-1.50063,3.17919,-0.27778,0
1979-07-01,0.2,-8.2859,2.18721872187219,2.36583,8.46698,-0.25352,3.22129,0.16713,0
1979-10-01,0.0,156.05759,0.713467805866291,1.48772,-1.53346,0.13597,3.16599,0.11123,1
1980-01-01,0.3,14.24901,1.82788175616583,1.75227,7.01742,-0.24602,3.94564,-0.16667,0
1980-04-01,-0.2,-119.63782,-0.566864210255089,1.48757,-4.40916,1.36741,3.3741,-1.27991,0
1980-07-01,0.1,133.29874,3.48103999308974,3.02177,21.9979,1.28722,1.87678,-0.50733,0
1980-10-01,0.3,-236.16664,2.52086811352254,2.12348,11.36474,-1.9507,2.80336,0.22663,0
1981-01-01,-0.3,-22.74316,1.37599739456114,1.71115,0.61033,-0.91203,2.76587,0.45223,0
1981-04-01,0.4,54.11655,2.58613765962574,2.70454,9.02835,-0.5315,2.08491,0.2251,0
1981-07-01,0.0,24.6436,0.274015501448358,1.77223,-7.62762,-0.34329,2.785,-0.67378,0
1981-10-01,0.0,-114.49343,1.21798875702686,2.58156,-2.64311,2.45901,1.62572,-0.73488,0
1982-01-01,0.7,-236.71128,2.38352360382598,2.2634,-7.48165,3.37133,0.88873,-0.62642,0
1982-04-01,0.8,-7.37263,1.05477284713328,2.1364,-0.81925,-0.03347,1.44468,-0.34384,0
1982-07-01,0.7,-322.2759,1.11831804965332,1.66933,-3.00048,4.70083,1.73671,-0.46003,0
1982-10-01,0.2,63.13412,4.01828504018286,2.24703,27.33369,3.70302,0.30727,-0.69324,0
1983-01-01,0.6,28.93925,2.92741706833002,5.51002,15.13595,1.84059,0.06807,-0.29087,0
1983-04-01,0.2,-21.79487,3.10584670477241,2.57179,18.07016,2.90981,1.15646,0.58343,0
1983-07-01,-0.1,-1.95609,2.26422655623831,1.58012,0.98212,1.24602,0.97512,1.33411,0
1983-10-01,0.1,27.90579,1.73078179086931,1.81587,-7.4595,-0.41673,0.999,0.68689,0
1984-01-01,0.3,3.43208,1.69491525423729,2.15755,-6.70033,0.75033,1.41774,0.62536,0
1984-04-01,0.9,-17.72483,1.76136363636364,2.15369,-7.43162,0.72728,0.94278,1.07345,0
1984-07-01,0.3,-57.47471,0.81270550282276,1.32184,0.77213,2.03831,0.86957,0.11179,0
1984-10-01,1.1,155.87636,1.09538461538461,2.21363,0.16428,4.1293,0.86207,0.1675,0
1985-01-01,0.1,42.25018,2.7027027027027,3.00831,12.18284,0.88745,0.91801,0.39019,0
1985-04-01,0.7,8.41821,2.4063537221432,1.7707,4.02277,2.17259,0.90966,-0.05552,0
1985-07-01,0.0,1.23912,3.5189258015974,2.12437,3.57948,0.57904,0.6217,0.11111,0
1985-10-01,1.0,-14.44303,2.86257408028625,1.4759,2.11662,5.36119,1.01946,0.49945,0
1986-01-01,0.5,-35.9106,2.19045548429178,1.48535,14.90268,0.65544,0.51988,0.16565,0
1986-04-01,0.9,-21.43291,3.90936652305728,2.64775,12.04735,2.79681,-0.48677,0.16538,0
1986-07-01,0.6,37.99446,4.23832923832924,2.50461,-4.18142,1.80666,0.61143,0.38525,0
1986-10-01,1.3,15.47645,4.35081516401493,2.22312,-4.70295,3.09483,0.69888,0.2193,0
1987-01-01,0.6,-14.56788,3.27999999999999,1.57751,15.1098,0.0536,1.207,0.27352,0
1987-04-01,0.4,5.73709,1.74055679591744,0.86197,2.80016,0.98852,1.13298,0.54555,0
1987-07-01,0.2,15.34551,0.116440503381248,0.62503,4.45089,0.14117,1.06132,0.37982,0
1987-10-01,0.2,10.61922,1.07805859986581,1.13957,-22.68646,0.9148,0.93349,0.37838,0
1988-01-01,0.4,-6.99519,0.712515489467157,1.75387,4.98761,0.97791,0.78035,0.16155,0
1988-04-01,0.4,-2.24658,1.86316298281848,1.93605,6.00668,0.11407,1.14712,0.26882,0
1988-07-01,-0.1,-38.34831,1.30710495664553,0.92345,1.48592,0.34608,1.21917,0.32172,0
